"location_id","type","name","status"
121101,"CELL","Bwiza","ACTIVE"
121102,"CELL","Cyaruzinge","ACTIVE"
121103,"CELL","Kibenga","ACTIVE"
121104,"CELL","Masoro","ACTIVE"
121105,"CELL","Mukuyu","ACTIVE"
121106,"CELL","Rudashya","ACTIVE"
121201,"CELL","Butare","ACTIVE"
121202,"CELL","Gasanze","ACTIVE"
121203,"CELL","Gasura","ACTIVE"
121204,"CELL","Gatunga","ACTIVE"
121205,"CELL","Muremure","ACTIVE"
121206,"CELL","Sha","ACTIVE"
121207,"CELL","Shango","ACTIVE"
121301,"CELL","Nyabisindu","ACTIVE"
121302,"CELL","Nyarutarama","ACTIVE"
121303,"CELL","Rukiri I","ACTIVE"
121304,"CELL","Rukiri II","ACTIVE"
121401,"CELL","Bisenga","ACTIVE"
121402,"CELL","Gasagara","ACTIVE"
121403,"CELL","Kabuga I","ACTIVE"
121404,"CELL","Kabuga II","ACTIVE"
121405,"CELL","Kinyana","ACTIVE"
121406,"CELL","Mbandazi","ACTIVE"
121407,"CELL","Nyagahinga","ACTIVE"
121408,"CELL","Ruhanga","ACTIVE"
121501,"CELL","Gasabo","ACTIVE"
121502,"CELL","Indatemwa","ACTIVE"
121503,"CELL","Kabaliza","ACTIVE"
121504,"CELL","Kacyatwa","ACTIVE"
121505,"CELL","Kibenga","ACTIVE"
121506,"CELL","Kigabiro","ACTIVE"
130101,"CELL","Gahanga","ACTIVE"
130102,"CELL","Kagasa","ACTIVE"
130103,"CELL","Karembure","ACTIVE"
130104,"CELL","Murinja","ACTIVE"
130105,"CELL","Nunga","ACTIVE"
130106,"CELL","Rwabutenge","ACTIVE"
130201,"CELL","Gatenga","ACTIVE"
130202,"CELL","Karambo","ACTIVE"
130203,"CELL","Nyanza","ACTIVE"
130204,"CELL","Nyarurama","ACTIVE"
130301,"CELL","Kagunga","ACTIVE"
130302,"CELL","Kanserege","ACTIVE"
